Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,County,Metro Area,Phone Number Combined,Primary SIC Description,Primary SIC Year Appeared,SIC Code 1 Description,Location Sales Volume Actual,Location Employee Size Range,Own or Lease
1170 Route 27 Realty LLC,Rasail,Shatashnikov,1170 Raritan Ave,Highland Park,NJ,08904,Middlesex,"New York, NY-NJ",(732) 253-7600,Real Estate Management,2014,Real Estate Management,"$253,000",1 to 4,Lease
2101 Realty LLC,Leon,Beyder,199 Main St # 2,Woodbridge,NJ,07095,Middlesex,"New York, NY-NJ",Not Available,Real Estate Management,2019,Real Estate Management,"$380,000",1 to 4,Lease
500 College RD Venture LLC,Al,Delcasio,500 College Rd E,Princeton,NJ,08540,Middlesex,"New York, NY-NJ",(609) 520-9664,Real Estate Management,2022,Real Estate Management,"$127,000",1 to 4,Lease
66 V M D Assoc LLC,Yoni,Nevenansky,172 W Main St,Somerville,NJ,08876,Somerset,"New York, NY-NJ",(908) 575-8000,Real Estate,2014,Real Estate,"$539,000",1 to 4,Own
962 Danbury Realty LLC,Patrick,Dibre,545 US Highway 22,North Plainfield,NJ,07060,Somerset,"New York, NY-NJ",Not Available,Real Estate,2015,Real Estate,"$674,000",5 to 9,Lease
A 2 Z Properties LLC,Yvonne,Leach,16 Rowland Dr,Hillsborough,NJ,08844,Somerset,"New York, NY-NJ",Not Available,Real Estate Management,2017,Real Estate Management,"$270,000",1 to 4,Unknown
ABC Real Estate LLC,Steven,Hercman,3705 Mercerville Quakerbridge,Trenton,NJ,08619,Mercer,"Trenton, NJ",(609) 689-4670,Real Estate Management,2003,Real Estate Management,"$379,000",1 to 4,Lease
Abele Realty Co Inc,W,Abele,2002 Mount Holly Rd # 5,Burlington,NJ,08016,Burlington,"Phl, PA-NJ-DE-MD",(609) 387-1777,Real Estate,1984,Real Estate,"$476,000",1 to 4,Own
Abud Family LLP,Mike,Aeiner,3100 Princeton Pike # 4l,Lawrenceville,NJ,08648,Mercer,"Trenton, NJ",(609) 896-1420,Real Estate,2007,Real Estate,"$127,000",1 to 4,Unknown
Access Property Management,Scott,Ringer,4 Walter E Foran Blvd # 311,Flemington,NJ,08822,Hunterdon,"New York, NY-NJ",(908) 782-8424,Real Estate Management,2004,Real Estate Management,"$720,000",5 to 9,Unknown
