Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,County,Metro Area,Phone Number Combined,Primary SIC Description,Primary SIC Year Appeared,SIC Code 1 Description,Location Sales Volume Actual,Location Employee Size Range,Own or Lease
11 Commerce Court LLC,Business,Owner,11 Commerce Dr,Cranbury,NJ,08512,Middlesex,"New York, NY-NJ",(609) 395-9777,Real Estate Management,2013,Real Estate Management,"$380,000",1 to 4,Lease
1170 Route 27 Realty LLC,Rasail,Shatashnikov,1170 Raritan Ave,Highland Park,NJ,08904,Middlesex,"New York, NY-NJ",(732) 253-7600,Real Estate Management,2014,Real Estate Management,"$253,000",1 to 4,Lease
12 Ridge Assoc LLC,Business,Owner,12 Ridge St,Basking Ridge,NJ,07920,Somerset,"New York, NY-NJ",(908) 766-0590,Real Estate Management,2007,Real Estate Management,"$270,000",1 to 4,Own
1477 Oak Tree,Business,Owner,1477 Oak Tree Rd,Iselin,NJ,08830,Middlesex,"New York, NY-NJ",(732) 283-0311,Real Estate,2014,Real Estate,"$506,000",1 to 4,Own
192 Route 22 LLC,Business,Owner,192 US Highway 22,Green Brook,NJ,08812,Somerset,"New York, NY-NJ",(732) 968-5076,Real Estate Management,2012,Real Estate Management,"$539,000",1 to 4,Lease
200 Buckelew LLC,Business,Owner,200 Buckelew Ave,Jamesburg,NJ,08831,Middlesex,"New York, NY-NJ",(732) 561-2479,Real Estate Management,2015,Real Estate Management,"$380,000",1 to 4,Own
2101 Realty LLC,Leon,Beyder,199 Main St # 2,Woodbridge,NJ,07095,Middlesex,"New York, NY-NJ",Not Available,Real Estate Management,2019,Real Estate Management,"$380,000",1 to 4,Lease
305 Oss Unit Advisory Council,Business,Owner,1730 Vandenberg Ave,Joint Base Mdl,NJ,08641,Burlington,"Phl, PA-NJ-DE-MD",Not Available,Real Estate Management,2023,Real Estate Management,"$238,000",1 to 4,Own
50 Broad Ave Corp,Business,Owner,50 Seeley Ave,Piscataway,NJ,08854,Middlesex,"New York, NY-NJ",Not Available,Real Estate Management,2016,Real Estate Management,"$253,000",1 to 4,Own
500 College RD Venture LLC,Al,Delcasio,500 College Rd E,Princeton,NJ,08540,Middlesex,"New York, NY-NJ",(609) 520-9664,Real Estate Management,2022,Real Estate Management,"$127,000",1 to 4,Lease
646 Route 18 Corp,Business,Owner,646 State Route 18,East Brunswick,NJ,08816,Middlesex,"New York, NY-NJ",(732) 257-1615,Real Estate Management,2013,Real Estate Management,"$506,000",1 to 4,Lease
66 V M D Assoc LLC,Yoni,Nevenansky,172 W Main St,Somerville,NJ,08876,Somerset,"New York, NY-NJ",(908) 575-8000,Real Estate,2014,Real Estate,"$539,000",1 to 4,Own
962 Danbury Realty LLC,Patrick,Dibre,545 US Highway 22,North Plainfield,NJ,07060,Somerset,"New York, NY-NJ",Not Available,Real Estate,2015,Real Estate,"$674,000",5 to 9,Lease
A 2 Z Properties LLC,Yvonne,Leach,16 Rowland Dr,Hillsborough,NJ,08844,Somerset,"New York, NY-NJ",Not Available,Real Estate Management,2017,Real Estate Management,"$270,000",1 to 4,Unknown
ABC Real Estate LLC,Steven,Hercman,3705 Mercerville Quakerbridge,Trenton,NJ,08619,Mercer,"Trenton, NJ",(609) 689-4670,Real Estate Management,2003,Real Estate Management,"$379,000",1 to 4,Lease
Abele Realty Co Inc,W,Abele,2002 Mount Holly Rd # 5,Burlington,NJ,08016,Burlington,"Phl, PA-NJ-DE-MD",(609) 387-1777,Real Estate,1984,Real Estate,"$476,000",1 to 4,Own
Abodes Across America,Business,Owner,27 Agate Rd,East Brunswick,NJ,08816,Middlesex,"New York, NY-NJ",(732) 296-1517,Real Estate Management,2012,Real Estate Management,"$253,000",1 to 4,Lease
Absolute Property Management,Business,Owner,2050 State Highway 27,Franklin Park,NJ,08823,Somerset,"New York, NY-NJ",(732) 297-3478,Real Estate Management,2009,Real Estate Management,"$405,000",1 to 4,Lease
Abud Family LLP,Mike,Aeiner,3100 Princeton Pike # 4l,Lawrenceville,NJ,08648,Mercer,"Trenton, NJ",(609) 896-1420,Real Estate,2007,Real Estate,"$127,000",1 to 4,Unknown
Access,Business,Owner,6 Claremont Rd # A,Bernardsville,NJ,07924,Somerset,"New York, NY-NJ",(908) 766-4500,Real Estate,2013,Real Estate,"$674,000",5 to 9,Lease
Access Property Management,Scott,Ringer,4 Walter E Foran Blvd # 311,Flemington,NJ,08822,Hunterdon,"New York, NY-NJ",(908) 782-8424,Real Estate Management,2004,Real Estate Management,"$720,000",5 to 9,Unknown
Action Management Group,Andrea,Saper,182 Tuckerton Rd,Medford Lakes,NJ,08055,Burlington,"Phl, PA-NJ-DE-MD",(856) 722-8585,Consultants-Business NEC,2019,Consultants-Business NEC,"$361,000",1 to 4,Lease
Action USA Rader Realty,Shirley,Rader,1597 Parkside Ave,Ewing,NJ,08638,Mercer,"Trenton, NJ",(609) 882-8850,Real Estate,1984,Real Estate,"$127,000",1 to 4,Lease
Acv Property Management LLC,Kevin,Meyers,680 US Highway 130 # 9972,Trenton,NJ,08650,Mercer,"Trenton, NJ",(609) 447-0131,Real Estate Management,2014,Real Estate Management,"$632,000",5 to 9,Lease
Agarwal Realty LLC,Shantesh,Dalal,19 Bellavista Ct,Edison,NJ,08820,Middlesex,"New York, NY-NJ",Not Available,Real Estate Management,2020,Real Estate Management,"$253,000",1 to 4,Unknown
Ajax Downtown LLC,Business,Owner,102 N Stockton St,Trenton,NJ,08618,Mercer,"Trenton, NJ",(609) 394-6762,Real Estate Management,2017,Real Estate Management,"$253,000",1 to 4,Own
Ajax Management,Business,Owner,202 E Hanover St,Trenton,NJ,08608,Mercer,"Trenton, NJ",(609) 393-1874,Real Estate Management,2017,Real Estate Management,"$253,000",1 to 4,Own
All County Premier Residential,Daniel,Goodman,2275 Highway 33 # 305,Trenton,NJ,08690,Mercer,"Trenton, NJ",(609) 629-3300,Real Estate Management,2024,Real Estate Management,"$379,000",1 to 4,Lease
Alla Nail,Business,Owner,1410 Parkway Ave # D,Ewing,NJ,08628,Mercer,"Trenton, NJ",(609) 883-7110,Real Estate Management,2009,Real Estate Management,"$506,000",1 to 4,Lease
Allcare Property Group Corp,Christina,Bekhit,9 Peggy Rd,East Brunswick,NJ,08816,Middlesex,"New York, NY-NJ",Not Available,Real Estate Management,2017,Real Estate Management,"$253,000",1 to 4,Lease
Allied,Business,Owner,10 Simpson Pl,Metuchen,NJ,08840,Middlesex,"New York, NY-NJ",(732) 548-7308,Real Estate Management,2011,Real Estate Management,"$253,000",1 to 4,Lease
Alloway Association,Carey,Grundner,2 Retreat Rd,Southampton,NJ,08088,Burlington,"Phl, PA-NJ-DE-MD",(609) 801-2323,Real Estate,2011,Real Estate,"$357,000",1 to 4,Own
Anjc Council On Philanthropy,Business,Owner,3121 US Highway 22,Branchburg,NJ,08876,Somerset,"New York, NY-NJ",Not Available,Real Estate Management,2021,Real Estate Management,"$405,000",1 to 4,Lease
Arep Westgate I LLC,Business,Owner,477 Martinsville Rd,Bernardsville,NJ,07924,Somerset,"New York, NY-NJ",(908) 580-0023,Real Estate Management,2015,Real Estate Management,"$405,000",1 to 4,Own
Arisa Realty LLC,Business,Owner,111 Main St,East Brunswick,NJ,08816,Middlesex,"New York, NY-NJ",(732) 723-3510,Real Estate,2017,Real Estate,"$253,000",1 to 4,Own
